DEBUG:root:{TICK: 177, IP: 30, ADDR: 18, DATA: {'term': [<Opcode.DATA: 'data'>, 3]}, ACC: {'term': ['data', 2]}, SR: 0} CMP 21
DEBUG:root:{TICK: 179, IP: 31, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 180, IP: 32, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 182, IP: 33, ADDR: 20, DATA: {'term': ['data', 8]}, ACC: {'term': ['data', 8]}, SR: 0} MOD 19
DEBUG:root:{TICK: 184, IP: 34, ADDR: 19, DATA: {'term': [<Opcode.DATA: 'data'>, 5]}, ACC: {'term': ['data', 3]}, SR: 0} CMP 21
DEBUG:root:{TICK: 186, IP: 35, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 187, IP: 36, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JMP 23
DEBUG:root:{TICK: 188, IP: 23, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 190, IP: 24, ADDR: 20, DATA: {'term': ['data', 8]}, ACC: {'term': ['data', 8]}, SR: 0} INC
DEBUG:root:{TICK: 191, IP: 25, ADDR: 20, DATA: {'term': ['data', 8]}, ACC: {'term': ['data', 9]}, SR: 0} ST 20
DEBUG:root:{TICK: 193, IP: 26, ADDR: 20, DATA: {'term': ['data', 9]}, ACC: {'term': ['data', 9]}, SR: 0} CMP 22
DEBUG:root:{TICK: 195, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 196, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 198, IP: 29, ADDR: 20, DATA: {'term': ['data', 9]}, ACC: {'term': ['data', 9]}, SR: 0} MOD 18
DEBUG:root:{TICK: 200, IP: 30, ADDR: 18, DATA: {'term': [<Opcode.DATA: 'data'>, 3]}, ACC: {'term': ['data', 0]}, SR: 0} CMP 21
DEBUG:root:{TICK: 202, IP: 31, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 0]}, SR: 0} JE 37
DEBUG:root:{TICK: 203, IP: 37, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 0]}, SR: 0} LD_VAL 17
DEBUG:root:{TICK: 205, IP: 38, ADDR: 17, DATA: {'term': ['data', 14]}, ACC: {'term': ['data', 14]}, SR: 0} ADD 20
DEBUG:root:{TICK: 207, IP: 39, ADDR: 20, DATA: {'term': ['data', 9]}, ACC: {'term': ['data', 23]}, SR: 0} ST 17
DEBUG:root:{TICK: 209, IP: 40, ADDR: 17, DATA: {'term': ['data', 23]}, ACC: {'term': ['data', 23]}, SR: 0} JMP 23
DEBUG:root:{TICK: 210, IP: 23, ADDR: 17, DATA: {'term': ['data', 23]}, ACC: {'term': ['data', 23]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 212, IP: 24, ADDR: 20, DATA: {'term': ['data', 9]}, ACC: {'term': ['data', 9]}, SR: 0} INC
DEBUG:root:{TICK: 213, IP: 25, ADDR: 20, DATA: {'term': ['data', 9]}, ACC: {'term': ['data', 10]}, SR: 0} ST 20
DEBUG:root:{TICK: 215, IP: 26, ADDR: 20, DATA: {'term': ['data', 10]}, ACC: {'term': ['data', 10]}, SR: 0} CMP 22
DEBUG:root:{TICK: 217, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 218, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 220, IP: 29, ADDR: 20, DATA: {'term': ['data', 10]}, ACC: {'term': ['data', 10]}, SR: 0} MOD 18
DEBUG:root:{TICK: 222, IP: 30, ADDR: 18, DATA: {'term': [<Opcode.DATA: 'data'>, 3]}, ACC: {'term': ['data', 1]}, SR: 0} CMP 21
DEBUG:root:{TICK: 224, IP: 31, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 225, IP: 32, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 227, IP: 33, ADDR: 20, DATA: {'term': ['data', 10]}, ACC: {'term': ['data', 10]}, SR: 0} MOD 19
DEBUG:root:{TICK: 229, IP: 34, ADDR: 19, DATA: {'term': [<Opcode.DATA: 'data'>, 5]}, ACC: {'term': ['data', 0]}, SR: 0} CMP 21
DEBUG:root:{TICK: 231, IP: 35, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 0]}, SR: 0} JE 37
DEBUG:root:{TICK: 232, IP: 37, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 0]}, SR: 0} LD_VAL 17
DEBUG:root:{TICK: 234, IP: 38, ADDR: 17, DATA: {'term': ['data', 23]}, ACC: {'term': ['data', 23]}, SR: 0} ADD 20
DEBUG:root:{TICK: 236, IP: 39, ADDR: 20, DATA: {'term': ['data', 10]}, ACC: {'term': ['data', 33]}, SR: 0} ST 17
DEBUG:root:{TICK: 238, IP: 40, ADDR: 17, DATA: {'term': ['data', 33]}, ACC: {'term': ['data', 33]}, SR: 0} JMP 23
DEBUG:root:{TICK: 239, IP: 23, ADDR: 17, DATA: {'term': ['data', 33]}, ACC: {'term': ['data', 33]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 241, IP: 24, ADDR: 20, DATA: {'term': ['data', 10]}, ACC: {'term': ['data', 10]}, SR: 0} INC
DEBUG:root:{TICK: 242, IP: 25, ADDR: 20, DATA: {'term': ['data', 10]}, ACC: {'term': ['data', 11]}, SR: 0} ST 20
DEBUG:root:{TICK: 244, IP: 26, ADDR: 20, DATA: {'term': ['data', 11]}, ACC: {'term': ['data', 11]}, SR: 0} CMP 22
DEBUG:root:{TICK: 246, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 247, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 249, IP: 29, ADDR: 20, DATA: {'term': ['data', 11]}, ACC: {'term': ['data', 11]}, SR: 0} MOD 18
DEBUG:root:{TICK: 251, IP: 30, ADDR: 18, DATA: {'term': [<Opcode.DATA: 'data'>, 3]}, ACC: {'term': ['data', 2]}, SR: 0} CMP 21
DEBUG:root:{TICK: 253, IP: 31, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 254, IP: 32, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 256, IP: 33, ADDR: 20, DATA: {'term': ['data', 11]}, ACC: {'term': ['data', 11]}, SR: 0} MOD 19
